age,workclass,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,proba_model,ground truth,expert prediction,machine prediction,class,provider
0.5342465753424658,0.0,0.5333333333333333,0.16666666666666666,1.0,1.0,0.0,1.0,0.0,0.0,0.3979591836734694,1.0,0.9926881531473544,0,0,0,0,H
0.1643835616438356,0.3333333333333333,0.4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.3979591836734694,1.0,0.9777391146181474,0,0,0,0,H
0.0821917808219178,0.3333333333333333,0.6,1.0,0.07692307692307693,0.5,0.0,0.0,0.0,0.0,0.6020408163265306,1.0,0.9938227244404154,0,1,0,0,H
0.2191780821917808,0.5,0.8,1.0,0.15384615384615385,1.0,0.0,1.0,0.0,0.0,0.3979591836734694,1.0,0.9667458337483228,0,0,0,0,H
0.4383561643835616,0.3333333333333333,0.6,0.8333333333333334,0.0,1.0,0.0,1.0,0.0,0.0,0.3979591836734694,1.0,0.9753399356397394,1,1,0,0,M
0.2054794520547945,0.3333333333333333,1.0,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.3979591836734694,1.0,0.9261720196349502,1,1,0,0,M
0.0273972602739726,0.3333333333333333,0.5333333333333333,1.0,0.5384615384615384,0.5,0.0,0.0,0.0,0.0,0.3469387755102041,1.0,0.9923821918750717,0,0,0,0,H
0.5342465753424658,0.16666666666666666,0.6,0.3333333333333333,0.15384615384615385,1.0,0.25,0.0,0.0,0.0,0.5,1.0,0.9764579558565991,0,0,0,0,H
0.3972602739726027,0.6666666666666666,0.8666666666666667,0.16666666666666666,0.0,0.75,0.0,1.0,0.0,0.0,0.6530612244897959,1.0,0.9482185220002651,1,1,0,0,M
0.3561643835616438,0.3333333333333333,0.8,0.5,0.0,0.75,0.0,0.0,0.08614086140861409,0.0,0.3979591836734694,1.0,0.7058152821654234,1,1,0,0,H
0.4931506849315068,0.3333333333333333,0.6,0.16666666666666666,0.15384615384615385,1.0,0.0,1.0,0.0,0.0,0.3979591836734694,1.0,0.9717173719396905,0,0,0,0,H
0.4931506849315068,0.5,0.5333333333333333,0.0,1.0,0.0,0.25,0.0,0.0,0.45385674931129477,0.3979591836734694,1.0,0.568075455248637,1,1,1,0,H
0.0410958904109589,0.3333333333333333,0.5333333333333333,1.0,0.3076923076923077,0.5,1.0,0.0,0.0,0.0,0.3979591836734694,0.1,0.9914164309742413,0,0,0,0,H
0.3150684931506849,0.6666666666666666,0.5333333333333333,0.16666666666666666,0.6923076923076923,0.5,0.0,1.0,0.0,0.0,0.3979591836734694,0.1,0.989863807572859,0,0,0,0,H
0.3287671232876712,0.6666666666666666,0.5333333333333333,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.3979591836734694,1.0,0.9707324339198418,0,0,0,0,H
0.0684931506849315,0.6666666666666666,0.6,1.0,0.7692307692307693,0.5,0.0,0.0,0.0,0.0,0.3979591836734694,1.0,0.9908978743072647,0,0,0,0,H
0.3835616438356164,0.3333333333333333,0.8,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.6020408163265306,1.0,0.6266256058598998,1,1,1,1,H
0.5616438356164384,0.3333333333333333,1.0,1.0,0.15384615384615385,1.0,0.0,0.0,0.0,0.0,0.07142857142857142,1.0,0.969618096273803,0,0,0,0,H
