sex,age,household_position,household_size,prev_residence_place,citizenship,country_birth,edu_level,economic_status,cur_eco_activity,marital_status,proba_model,ground truth,expert prediction,machine prediction,occupation,provider
0,0.8181818181818182,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.9285714285714286,0.3333333333333333,0.9040749250614519,0,0,0,0,H
0,0.36363636363636365,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.8505555807246892,0,1,0,0,M
0,0.0,0.0,0.9333333333333333,1,0.0,0.0,0.4,0.1111111111111111,0.75,0.0,0.7653788509623235,0,1,0,0,M
1,0.5454545454545454,0.9090909090909091,0.0,1,0.0,0.0,0.2,0.0,0.8571428571428571,0.0,0.8291994893896669,0,0,0,0,H
0,0.45454545454545453,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.2,0.0,0.8571428571428571,0.3333333333333333,0.9306692675738023,1,0,0,0,H
0,0.2727272727272727,1.0,0.13333333333333333,1,0.0,0.0,0.6,1.0,0.75,0.0,0.8340418364777509,1,1,1,1,H
0,0.6363636363636364,0.1,0.06666666666666667,1,0.0,1.0,0.6,0.0,0.75,0.3333333333333333,0.9393185864121633,0,1,0,0,M
0,0.18181818181818182,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.3333333333333333,0.9533681424683854,0,1,0,0,M
1,0.7272727272727273,0.1,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.8571428571428571,0.3333333333333333,0.9475528929962509,1,1,0,0,M
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.7857142857142857,1.0,0.8606239263695168,0,0,0,0,H
1,0.45454545454545453,0.0,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.9285714285714286,0.0,0.8681795481903946,1,0,1,1,M
0,0.2727272727272727,0.10909090909090909,0.2,1,0.0,0.5,0.4,0.0,0.7142857142857143,0.3333333333333333,0.9474260153539429,1,0,0,0,H
1,0.6363636363636364,0.1,0.06666666666666667,1,0.0,1.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.9408827105512105,0,1,0,0,H
1,0.36363636363636365,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.4,0.0,0.0,0.3333333333333333,0.9203255305622887,0,0,0,0,H
1,0.36363636363636365,0.2727272727272727,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.9285714285714286,1.0,0.8750614967055438,1,0,1,1,M
0,0.5454545454545454,0.1,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.3333333333333333,0.8637455375456836,1,1,1,1,H
0,0.36363636363636365,0.10909090909090909,1.0,1,0.0,0.0,0.6,1.0,1.0,0.3333333333333333,0.8414970504748787,1,1,1,1,H
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,1.0,0.6,0.0,0.39285714285714285,0.0,0.803078948762811,0,0,0,0,H
0,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.9679955273971672,1,0,0,0,H
1,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.9642857142857143,0.0,0.8777653762739317,0,0,0,0,H
1,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.0,0.0,0.8928571428571429,0.0,0.8025235875087177,0,0,0,0,H
1,0.2727272727272727,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.8214285714285714,0.3333333333333333,0.9073833805856634,0,0,0,0,H
1,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.9642857142857143,1.0,0.824401245704708,0,0,0,0,H
0,0.45454545454545453,0.10909090909090909,1.0,1,0.0,0.0,0.8,0.0,0.9642857142857143,0.3333333333333333,0.9194365166454559,1,1,1,1,H
0,0.18181818181818182,0.2,0.13333333333333333,1,0.0,0.0,0.4,1.0,0.8571428571428571,0.0,0.7944182159934485,0,1,1,1,H
0,0.7272727272727273,0.10909090909090909,0.9333333333333333,1,0.0,1.0,1.0,1.0,0.7142857142857143,0.3333333333333333,0.8051853315533991,1,0,1,1,M
1,0.5454545454545454,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.9327429874855572,1,1,0,0,M
0,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.39285714285714285,0.3333333333333333,0.7962029149942681,1,1,0,0,M
0,0.5454545454545454,0.2727272727272727,0.2,1,0.5,1.0,0.0,0.0,0.75,0.6666666666666666,0.8251452516097264,0,1,0,0,M
1,0.18181818181818182,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.7857142857142857,0.0,0.8875138729508586,1,1,1,1,H
1,0.2727272727272727,0.9090909090909091,0.0,1,0.0,0.0,0.8,0.0,0.8928571428571429,1.0,0.8340669817796317,1,1,1,1,H
0,0.2727272727272727,0.9090909090909091,0.0,2,0.0,0.0,0.6,0.0,1.0,1.0,0.7274012303868231,1,1,0,0,M
0,0.09090909090909091,0.1,0.06666666666666667,2,1.0,1.0,0.4,0.0,0.8571428571428571,0.3333333333333333,0.7177675216371999,0,0,0,0,H
0,0.7272727272727273,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.8571428571428571,0.3333333333333333,0.8989878016686063,0,0,0,0,H
1,0.09090909090909091,0.0,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.7857142857142857,0.0,0.8328389256644235,0,1,1,1,H
1,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.1111111111111111,0.9285714285714286,0.0,0.6910768268883597,1,1,1,1,H
0,0.09090909090909091,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.75,0.3333333333333333,0.9401906062351298,0,0,0,0,H
1,0.6363636363636364,0.9090909090909091,0.0,1,0.0,0.0,0.4,0.0,0.75,1.0,0.8677967793802627,0,1,0,0,M
0,0.5454545454545454,0.1,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.3333333333333333,0.9445163005479444,0,1,0,0,M
1,0.2727272727272727,0.10909090909090909,0.2,1,0.0,1.0,0.2,0.0,0.9642857142857143,0.3333333333333333,0.930421624312936,0,1,0,0,M
0,0.2727272727272727,0.1,0.06666666666666667,1,0.0,1.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.9159335096481409,0,0,0,0,H
1,0.7272727272727273,0.1,0.06666666666666667,1,0.0,1.0,0.6,0.0,0.9642857142857143,0.3333333333333333,0.8927173388812846,0,0,0,0,H
0,0.36363636363636365,0.10909090909090909,1.0,1,0.0,0.0,0.6,1.0,0.4642857142857143,0.3333333333333333,0.8532791043466551,1,1,1,1,H
0,0.36363636363636365,0.0,0.13333333333333333,1,0.0,0.0,0.6,1.0,0.75,0.0,0.899466274342475,1,0,1,1,M
0,0.7272727272727273,0.9090909090909091,0.0,1,0.0,0.0,0.6,0.0,0.4642857142857143,1.0,0.7449825654035227,1,0,0,0,H
0,0.45454545454545453,0.2,0.2,1,0.0,0.0,1.0,0.0,0.8571428571428571,0.0,0.8921314177165574,1,1,1,1,H
0,0.7272727272727273,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.39285714285714285,0.3333333333333333,0.8789643807897575,1,1,1,1,H
0,0.09090909090909091,0.0,1.0,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.0,0.8834063944520227,1,0,0,0,H
0,0.2727272727272727,0.2,0.13333333333333333,1,0.0,0.0,0.4,0.0,0.39285714285714285,0.0,0.8907731305591692,1,0,0,0,H
1,0.09090909090909091,0.0,0.9333333333333333,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.0,0.9265137886177226,0,0,0,0,H
0,0.5454545454545454,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.39285714285714285,0.3333333333333333,0.926305179426146,1,1,0,0,M
0,0.2727272727272727,0.10909090909090909,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.7857142857142857,0.3333333333333333,0.9198910754603946,0,0,1,1,H
1,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,0.0,0.0,0.8,0.0,0.8214285714285714,0.3333333333333333,0.9409923011595399,0,1,1,1,H
1,0.5454545454545454,0.10909090909090909,1.0,1,0.0,0.0,0.2,1.0,0.0,0.3333333333333333,0.8690303654181198,1,0,1,1,M
1,0.45454545454545453,0.2,0.2,2,0.5,0.5,0.8,0.0,0.8571428571428571,0.3333333333333333,0.9017214291013586,0,1,1,1,H
1,0.36363636363636365,0.1,0.06666666666666667,1,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8183377384962076,1,1,1,1,H
0,0.36363636363636365,1.0,0.13333333333333333,1,0.0,0.0,0.6,1.0,1.0,0.0,0.841091665993665,0,1,1,1,H
1,0.2727272727272727,0.2727272727272727,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.8214285714285714,0.0,0.7866905103697774,1,1,1,1,H
0,0.5454545454545454,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.8,0.0,0.8928571428571429,0.3333333333333333,0.8337471752909144,1,1,1,1,H
1,0.09090909090909091,0.19090909090909092,0.06666666666666667,1,0.0,0.0,1.0,0.1111111111111111,0.7142857142857143,0.0,0.7016955404658487,0,0,1,1,H
0,0.5454545454545454,0.9090909090909091,0.0,1,0.0,0.5,0.6,0.0,0.39285714285714285,0.0,0.849163945080252,0,0,0,0,H
0,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.8574287465306115,1,0,1,1,M
1,0.5454545454545454,0.1,0.06666666666666667,1,0.0,0.5,0.6,0.0,0.9285714285714286,0.3333333333333333,0.9037275889075433,0,0,0,0,H
0,0.7272727272727273,0.9090909090909091,0.0,1,0.0,0.0,0.4,1.0,1.0,0.0,0.8455599826438159,1,0,1,1,M
1,0.5454545454545454,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.9285714285714286,0.0,0.8918701457964553,0,0,1,1,M
1,0.36363636363636365,0.10909090909090909,0.2,1,0.5,0.5,0.6,0.0,0.9642857142857143,0.3333333333333333,0.8421410786883397,0,0,0,0,H
1,0.5454545454545454,0.19090909090909092,0.06666666666666667,1,0.0,1.0,0.4,0.0,0.9642857142857143,1.0,0.883775243649175,0,0,0,0,H
1,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.8,0.1111111111111111,0.8928571428571429,0.0,0.5607303080405054,0,0,1,0,H
0,0.09090909090909091,0.0,1.0,1,0.0,0.0,0.2,0.0,0.75,0.0,0.9235374142464926,0,0,0,0,H
1,0.2727272727272727,0.0,0.06666666666666667,1,0.0,0.0,1.0,0.0,0.9285714285714286,0.0,0.864432082159595,1,0,1,1,H
1,1.0,0.1,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.75,0.3333333333333333,0.836002211184199,0,0,0,0,H
0,0.45454545454545453,0.2,0.2,1,0.0,0.0,0.2,0.0,0.7142857142857143,1.0,0.8970957185704385,0,1,0,0,M
1,0.18181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.9285714285714286,0.3333333333333333,0.9272431939404835,0,0,0,0,H
1,0.36363636363636365,0.1,0.06666666666666667,1,0.0,0.0,0.6,1.0,0.0,0.3333333333333333,0.9592120450279779,1,0,1,1,M
0,0.09090909090909091,0.9090909090909091,0.0,1,0.0,0.0,0.2,0.0,0.7857142857142857,0.0,0.8012588100455932,0,1,0,0,M
1,0.18181818181818182,1.0,0.2,1,0.0,0.0,1.0,0.0,0.8928571428571429,0.0,0.7054404227110155,1,1,1,1,H
0,0.0,0.0,0.2,2,0.0,0.0,0.4,0.1111111111111111,0.75,0.0,0.9432645792909359,0,1,0,0,H
0,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.39285714285714285,0.3333333333333333,0.9401200070460198,1,0,0,0,H
1,0.0,0.0,0.9333333333333333,2,0.0,0.0,0.6,0.1111111111111111,0.7142857142857143,0.0,0.7963092099307603,0,0,0,0,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,0.6,1.0,0.7142857142857143,0.3333333333333333,0.9457248831243885,0,1,1,1,H
1,0.7272727272727273,0.10909090909090909,0.2,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.3333333333333333,0.8827729952096377,0,0,0,0,H
0,1.0,0.1,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.8571428571428571,0.3333333333333333,0.934687262231,0,0,0,0,H
1,0.5454545454545454,0.2727272727272727,0.13333333333333333,1,0.0,1.0,0.2,0.0,0.8571428571428571,1.0,0.8994245475698626,0,0,0,0,H
0,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,0.2,0.0,1.0,0.0,0.8532833056032549,0,0,0,0,H
0,0.7272727272727273,0.10909090909090909,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.938251344593106,1,1,0,0,M
0,0.6363636363636364,0.1,0.06666666666666667,1,0.0,0.0,0.6,1.0,0.75,0.3333333333333333,0.9594940645294975,1,1,1,1,H
0,0.09090909090909091,0.0,0.9333333333333333,1,0.0,0.0,0.6,0.0,1.0,0.0,0.934893659255903,1,1,0,0,H
1,0.36363636363636365,0.19090909090909092,0.06666666666666667,1,0.0,1.0,1.0,0.0,0.7857142857142857,0.0,0.8585474157033266,1,1,1,1,H
1,0.09090909090909091,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.8571428571428571,0.3333333333333333,0.6909202685771956,0,0,1,1,M
0,0.5454545454545454,0.10909090909090909,0.2,1,0.0,0.5,0.6,0.0,0.7857142857142857,0.3333333333333333,0.9598638999385263,1,1,0,0,M
1,0.5454545454545454,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.2,0.0,0.8214285714285714,0.0,0.8874712887593813,0,1,0,1,H
1,0.45454545454545453,0.10909090909090909,0.9333333333333333,1,0.0,1.0,0.6,1.0,0.7142857142857143,0.3333333333333333,0.6643253515305354,1,1,1,1,H
0,0.18181818181818182,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,1.0,0.3333333333333333,0.9405075804359115,0,0,0,0,H
1,0.5454545454545454,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.0,0.8486196796720819,0,1,0,0,M
0,0.45454545454545453,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.4642857142857143,1.0,0.8615962674232227,0,0,0,0,H
0,0.2727272727272727,0.1,0.06666666666666667,1,0.0,0.0,0.8,0.0,0.7857142857142857,0.3333333333333333,0.9107016096077591,1,0,1,1,M
1,0.0,0.0,0.2,1,0.0,0.0,0.6,0.0,0.39285714285714285,0.0,0.944708499979403,0,0,0,0,H
1,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.8700346835085082,1,0,1,1,H
1,0.45454545454545453,0.2727272727272727,0.13333333333333333,1,0.0,0.0,0.6,0.0,0.9285714285714286,1.0,0.8957028830363624,1,0,0,0,H
0,0.09090909090909091,0.0,0.2,2,0.0,0.0,1.0,0.0,0.7857142857142857,0.0,0.77831279472395,1,1,1,1,H
0,0.6363636363636364,0.1,0.06666666666666667,1,1.0,1.0,1.0,0.0,0.7142857142857143,0.3333333333333333,0.8510347840016825,1,1,1,1,H
0,0.36363636363636365,0.0,0.06666666666666667,1,0.0,0.0,0.6,1.0,0.0,0.0,0.8419184978455455,1,0,1,1,M
0,0.5454545454545454,0.2727272727272727,0.13333333333333333,1,0.0,0.0,1.0,0.0,0.8928571428571429,1.0,0.9026117243593846,1,1,1,1,H
1,0.2727272727272727,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.7857142857142857,0.0,0.9045518808637281,0,1,0,0,H
1,0.7272727272727273,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.8571428571428571,0.6666666666666666,0.8926747345982708,0,0,0,0,H
0,0.8181818181818182,0.1,0.06666666666666667,1,0.0,0.0,0.8,1.0,0.0,0.3333333333333333,0.9334824305001357,1,0,1,1,M
0,0.45454545454545453,0.19090909090909092,0.06666666666666667,1,0.0,1.0,0.4,0.0,0.7142857142857143,0.0,0.8256541180064826,0,0,0,0,H
1,0.36363636363636365,0.1,0.06666666666666667,1,0.5,0.0,0.6,0.0,0.7142857142857143,0.3333333333333333,0.8027088142735328,1,0,0,0,H
0,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.0,0.4,1.0,0.75,0.3333333333333333,0.8956993811335888,1,1,1,1,H
0,0.45454545454545453,0.10909090909090909,0.2,1,0.0,0.0,1.0,0.0,1.0,0.3333333333333333,0.8673517510005743,1,1,1,1,H
0,0.5454545454545454,0.10909090909090909,0.9333333333333333,1,0.0,1.0,0.4,0.0,0.8928571428571429,0.3333333333333333,0.8439187564667772,0,0,0,0,H
0,0.7272727272727273,0.19090909090909092,0.06666666666666667,1,0.0,0.0,0.6,0.0,0.39285714285714285,1.0,0.8574701776683359,1,0,0,0,H
1,0.2727272727272727,0.2727272727272727,0.06666666666666667,1,0.0,0.0,0.4,0.0,0.8571428571428571,1.0,0.8841479231651451,1,0,0,0,H
1,0.2727272727272727,0.2727272727272727,0.06666666666666667,1,0.5,0.5,0.6,0.0,0.9642857142857143,1.0,0.794972280148887,0,0,0,0,H
0,0.45454545454545453,0.9090909090909091,0.0,1,0.0,0.0,1.0,0.0,0.7142857142857143,0.0,0.8887006119020188,1,0,1,1,M
1,0.2727272727272727,0.1,0.2,1,0.0,0.0,0.6,0.0,0.9642857142857143,0.3333333333333333,0.9214913217912756,0,1,0,0,M
0,0.6363636363636364,0.10909090909090909,0.2,1,0.0,0.0,0.4,0.0,0.8214285714285714,0.3333333333333333,0.9409028086402113,0,1,0,0,M
