sex,prev_residence_place,cur_eco_activity,marital_status,edu_level,economic_status,country_birth,household_size,citizenship,age,household_position,expert prediction,machine prediction,ground truth,proba_model,occupation,provider
0,1,0.7857142857142857,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.3636363636363636,0.109090909090909,0,0,0,0.5246122817385629,0,H
1,1,0.9642857142857144,1.0,0.0,0.0,1.0,0.2,0.0,0.3636363636363636,1.0,0,0,0,0.7594248688661533,0,H
0,1,0.7142857142857143,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.7272727272727273,0.109090909090909,1,0,1,0.5968291745629081,0,H
0,1,0.4642857142857143,0.0,0.6,0.1111111111111111,0.0,1.0,0.0,0.0909090909090909,0.0,0,0,0,0.6726174188114491,0,H
1,1,0.3928571428571428,1.0,0.6,0.0,0.0,0.0,0.0,0.4545454545454545,0.9090909090909092,0,0,0,0.571239823178299,0,H
1,1,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,1.0,0.0,0.2727272727272727,0.109090909090909,0,0,0,0.6220048941004056,0,H
1,1,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,0.2,0.0,0.0909090909090909,0.109090909090909,0,0,0,0.7002250942735735,0,H
0,1,0.9285714285714286,0.3333333333333333,0.4,0.0,0.0,0.1333333333333333,0.0,0.4545454545454545,0.109090909090909,0,0,0,0.5862253283697691,0,H
1,1,0.7142857142857143,1.0,1.0,0.0,0.0,0.2,0.0,0.3636363636363636,0.2727272727272727,0,1,0,0.5980133786579153,1,H
1,1,0.8571428571428571,0.3333333333333333,0.4,1.0,0.0,0.1333333333333333,0.0,0.2727272727272727,0.109090909090909,1,1,0,0.5460354968506256,1,H
0,1,0.9642857142857144,0.0,0.6,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0,0.0,0,0,0,0.725605096786553,0,H
1,1,0.8214285714285714,0.3333333333333333,0.4,1.0,0.0,0.9333333333333332,0.0,0.3636363636363636,0.109090909090909,0,1,0,0.560534147686429,1,H
0,1,0.7142857142857143,0.3333333333333333,0.6,1.0,0.5,0.9333333333333332,0.0,0.4545454545454545,0.109090909090909,1,1,1,0.623213764180244,1,H
1,1,0.8928571428571429,0.3333333333333333,1.0,0.0,0.0,0.2,0.0,0.4545454545454545,0.109090909090909,0,1,0,0.5572008876322615,1,H
0,1,0.3928571428571428,0.0,0.6,0.0,0.0,0.9333333333333332,0.0,0.1818181818181818,0.2,1,1,1,0.5656838845780107,0,H
0,1,0.3928571428571428,0.0,0.4,0.0,0.0,0.9333333333333332,0.5,0.2727272727272727,1.0,0,1,0,0.6302619224627528,0,H
0,1,0.3928571428571428,0.3333333333333333,0.6,0.0,0.0,0.2,0.0,0.7272727272727273,1.0,0,1,0,0.5029563776471895,0,H
1,1,1.0,0.3333333333333333,0.6,1.0,0.0,0.2,0.0,0.6363636363636364,0.109090909090909,1,1,1,0.5681554346099743,1,H
1,1,0.9642857142857144,0.0,0.8,0.1111111111111111,0.0,1.0,0.0,0.0909090909090909,0.0,1,0,1,0.737630254585702,1,H
1,1,0.75,0.0,0.6,1.0,0.0,0.0666666666666666,0.0,0.4545454545454545,0.1909090909090909,1,1,1,0.7599701031748467,1,H
0,1,0.75,0.0,0.2,0.1111111111111111,0.0,0.0666666666666666,0.0,0.0,0.0,0,0,0,0.8306584792340825,0,H
0,1,0.7142857142857143,0.0,0.0,0.1111111111111111,0.0,0.2,0.0,0.0,0.0,0,0,0,0.8456110484960608,0,H
