juv_fel_count,race,juv_other_count,c_charge_degree,priors_count,sex,age,juv_misd_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0,0.8,0.0,0.6,0.0344827586206896,0.0,0.0909090909090909,0.0,1,0,0,0.7549900782907619,0,M
0.0,1.0,0.0,0.2,0.0689655172413793,0.0,0.1558441558441558,0.0,1,0,0,0.8089905512493637,1,H
0.0,0.8,0.0,0.2,0.0344827586206896,0.0,0.0909090909090909,0.0,1,0,1,0.7828937656130471,0,M
0.0,0.4,0.0,0.6,0.0344827586206896,1.0,0.1038961038961039,0.0,1,0,1,0.6704338061392221,1,H
0.0,1.0,0.0,0.4,0.0,1.0,0.0519480519480519,0.0,1,0,1,0.5173472743886923,1,H
0.0,0.6,0.0,0.2,0.2413793103448276,1.0,0.1168831168831168,0.0,1,0,0,0.6515872023840691,1,H
0.0,0.8,0.0,0.6,0.1379310344827586,0.0,0.3766233766233766,0.0,1,0,0,0.5791197768289035,1,H
0.0,0.4,0.0,0.6,0.0689655172413793,1.0,0.4285714285714285,0.0,0,0,0,0.6674107430215201,0,H
0.0,1.0,0.0,0.4,0.2758620689655172,1.0,0.1558441558441558,0.0,1,1,1,0.8135618408320874,1,H
0.0,0.8,0.0,0.2,0.0,0.0,0.2337662337662337,0.0,1,0,0,0.8188160953891,1,H
0.0,0.4,0.0,0.6,0.0,1.0,0.0779220779220779,0.0,1,0,0,0.7051959228896221,1,H
0.0,0.6,0.0,1.0,0.0,1.0,0.3896103896103896,0.0,1,0,0,0.8007312573801482,0,M
0.0,1.0,0.0,0.4,0.0,1.0,0.0649350649350649,0.0,1,1,1,0.540023400175024,1,H
0.0,1.0,0.0,0.6,0.2758620689655172,1.0,0.2337662337662337,0.0,0,1,1,0.8149127082093046,1,M
0.0,1.0,0.0,0.8,0.3793103448275862,1.0,0.1038961038961039,0.0,1,1,1,0.8312360962821059,1,H
0.0,1.0,0.0,0.8,0.1379310344827586,1.0,0.0259740259740259,0.0,0,1,0,0.6814438335874718,1,H
0.0,1.0,0.0,0.8,0.0,1.0,0.0389610389610389,0.0,1,0,1,0.6365639074135688,1,H
0.0,0.8,0.0,0.4,0.0689655172413793,1.0,0.1948051948051948,0.0,1,0,0,0.5191871693208978,1,H
0.0,1.0,0.0,0.8,0.0344827586206896,1.0,0.0389610389610389,0.0,1,0,1,0.5110489329151812,1,H
0.4,1.0,0.0,0.6,0.6896551724137931,1.0,0.1428571428571428,0.0,1,1,1,0.9075631817870912,1,H
0.0,0.8,0.0,0.6,0.0,0.0,0.2597402597402597,0.0,1,0,1,0.7307057246016543,0,M
0.0,0.8,0.0,0.4,0.4827586206896552,1.0,0.4545454545454545,0.0,1,1,1,0.7329059509991369,1,H
0.0,0.8,0.0,0.6,0.0,1.0,0.2597402597402597,0.0,0,0,0,0.6503280120279038,0,H
0.0,1.0,0.1428571428571428,0.6,0.0689655172413793,1.0,0.1168831168831168,0.0,0,1,1,0.5887814092233569,1,H
0.0,1.0,0.1428571428571428,0.6,0.6551724137931034,1.0,0.3636363636363636,0.0,0,1,1,0.7455338065059367,1,M
0.0,1.0,0.1428571428571428,0.6,0.1379310344827586,1.0,0.0129870129870129,0.0833333333333333,1,1,1,0.666383369100956,1,H
0.0,0.4,0.0,0.6,0.1034482758620689,1.0,0.0779220779220779,0.0,0,0,0,0.505124708581077,0,H
0.0,1.0,0.0,0.8,0.0,0.0,0.1168831168831168,0.0,1,0,0,0.7488342972889105,0,M
0.0,0.6,0.0,0.4,0.0,0.0,0.0129870129870129,0.0,0,0,0,0.7423042555924867,0,H
0.0,0.8,0.0,0.6,0.0689655172413793,0.0,0.0649350649350649,0.0,0,0,0,0.6622004860755049,0,H
0.0,0.8,0.0,0.4,0.0689655172413793,1.0,0.4155844155844156,0.0,0,0,0,0.6424278038094834,0,H
0.0,1.0,0.0,0.6,0.3448275862068966,1.0,0.1558441558441558,0.0,1,1,1,0.8398842638275971,1,H
0.0,0.8,0.0,0.6,0.3103448275862069,1.0,0.2597402597402597,0.0,1,1,1,0.8439527538994347,1,H
0.0,0.8,0.0,0.0,0.3103448275862069,1.0,0.0909090909090909,0.0,0,1,1,0.5618094514884001,1,H
0.0,0.8,0.2857142857142857,0.4,0.2068965517241379,1.0,0.1688311688311688,0.0,0,0,0,0.5225672146519997,0,H
0.0,1.0,0.0,0.6,0.4482758620689655,1.0,0.2337662337662337,0.0,0,1,0,0.8627402545434399,1,H
0.0,1.0,0.0,0.6,0.0344827586206896,1.0,0.4285714285714285,0.0,1,0,0,0.6481139139368154,1,H
0.0,1.0,0.0,0.2,0.0344827586206896,1.0,0.0519480519480519,0.0,1,0,0,0.6206153920196126,1,H
0.0,1.0,0.0,0.6,0.3103448275862069,1.0,0.2597402597402597,0.0,1,1,0,0.8168887101883036,1,H
0.0,1.0,0.0,0.4,0.0,0.0,0.0389610389610389,0.0,0,0,0,0.8103655046104795,0,H
0.0,0.8,0.0,0.6,0.0689655172413793,1.0,0.1948051948051948,0.0,1,0,1,0.5235364381287321,1,H
0.2,1.0,0.0,1.0,0.2758620689655172,1.0,0.4155844155844156,0.0,0,1,0,0.7485803310355478,1,M
0.4,1.0,0.0,0.4,0.1034482758620689,1.0,0.0649350649350649,0.0833333333333333,0,1,1,0.7638883505525744,1,M
0.0,1.0,0.0,0.4,0.2068965517241379,1.0,0.1038961038961039,0.0,0,1,1,0.5829656072069472,1,H
0.0,0.4,0.0,0.6,0.0,1.0,0.0389610389610389,0.0,1,0,1,0.6091650563710072,1,H
0.0,0.4,0.0,0.4,0.0,1.0,0.1818181818181818,0.0,0,0,0,0.6048412512853951,0,H
0.0,0.6,0.0,0.8,0.0,0.0,0.4675324675324675,0.0,1,0,0,0.5652102677940621,1,H
0.0,1.0,0.0,0.4,0.1379310344827586,1.0,0.1818181818181818,0.0,0,1,1,0.6619986825226772,1,H
0.0,1.0,0.0,0.6,0.0,0.0,0.0779220779220779,0.0,0,0,0,0.6756232130252291,0,H
0.0,1.0,0.0,0.2,0.1724137931034483,1.0,0.1948051948051948,0.0,0,1,0,0.5431713144936166,0,H
0.0,0.8,0.0,0.2,0.0,1.0,0.6493506493506493,0.0,0,0,0,0.7362068163645021,0,H
0.0,1.0,0.2857142857142857,0.6,0.0,1.0,0.0129870129870129,0.0,0,1,1,0.7312391375151814,1,H
0.0,0.8,0.0,0.6,0.1034482758620689,1.0,0.3376623376623376,0.0,0,1,1,0.5397734552964634,0,H
0.0,1.0,0.0,0.8,0.0344827586206896,1.0,0.2077922077922078,0.0,1,0,1,0.5725804164244273,1,H
0.0,1.0,0.0,0.6,0.0,1.0,0.1688311688311688,0.0,0,0,0,0.5056724089341464,0,H
0.0,0.6,0.0,0.4,0.0344827586206896,1.0,0.2727272727272727,0.0,0,0,0,0.6460176519866413,0,H
0.0,0.8,0.0,0.6,0.1724137931034483,1.0,0.1038961038961039,0.0,0,1,0,0.5279290232079157,1,H
