juv_misd_count,age,juv_fel_count,c_charge_degree,sex,race,juv_other_count,priors_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0,0.3116883116883117,0.0,0.2,1.0,0.6,0.0,0.03571428571428571,1,0,1,0.7029149269991837,1,H
0.0,0.3116883116883117,0.0,0.8,1.0,0.8,0.0,0.14285714285714285,1,0,1,0.6746357218742478,1,H
0.0,0.012987012987012988,0.0,0.6,1.0,0.8,0.6,0.0,1,0,1,0.6020037356568192,1,H
0.0,0.22077922077922077,0.0,0.2,1.0,1.0,0.0,0.32142857142857145,0,1,0,0.5849582982594524,0,H
0.0,0.14285714285714285,0.0,0.4,1.0,0.4,0.0,0.0,1,0,1,0.7079763795899396,1,H
0.0,0.4155844155844156,0.0,0.4,0.0,0.8,0.0,0.0,1,0,1,0.6553638584625292,1,H
0.0,0.03896103896103896,0.0,0.4,1.0,0.2,0.0,0.03571428571428571,0,0,0,0.6553816619456784,0,H
0.0,0.025974025974025976,0.0,0.6,0.0,0.8,0.0,0.17857142857142858,0,0,0,0.5347709130765282,0,H
0.0,0.07792207792207792,0.0,0.8,1.0,0.8,0.0,0.0,1,0,1,0.5666914703864983,1,H
0.0,0.09090909090909091,0.0,0.4,1.0,1.0,0.0,0.10714285714285714,0,0,1,0.5019455422795015,0,H
0.0,0.4805194805194805,0.0,0.4,0.0,0.6,0.0,0.07142857142857142,1,0,1,0.6701379208618431,1,H
0.0,0.12987012987012986,0.0,0.6,1.0,1.0,0.0,1.0,1,1,1,0.6024165722881182,1,H
0.0,0.36363636363636365,0.0,0.4,1.0,0.6,0.0,0.0,0,0,0,0.5415300473158244,0,H
0.0,0.42857142857142855,0.0,0.8,0.0,0.8,0.0,0.0,0,0,0,0.6760471729378784,0,H
0.0,0.012987012987012988,0.0,0.6,1.0,1.0,0.0,0.034482758620689655,1,0,1,0.6086984138171319,1,H
0.0,0.06493506493506493,0.0,0.4,1.0,0.4,0.0,0.06896551724137931,0,0,0,0.6155325055090016,0,H
0.0,0.03896103896103896,0.0,0.6,1.0,0.6,0.2,0.0,0,0,0,0.6167738358218764,0,H
0.0,0.09090909090909091,0.0,0.0,1.0,1.0,0.0,0.10344827586206896,1,0,1,0.6187560744274021,1,H
0.0,0.025974025974025976,0.0,0.0,1.0,1.0,0.0,0.06896551724137931,1,0,1,0.5756860980861737,1,H
0.0,0.2987012987012987,0.0,0.6,1.0,0.8,0.0,0.034482758620689655,1,0,1,0.521205838029584,1,H
0.0,0.11688311688311688,0.0,0.8,1.0,0.6,0.0,0.10344827586206896,1,1,1,0.5502706644475569,1,H
0.0,0.2857142857142857,0.0,0.4,1.0,0.8,0.0,0.0,1,1,1,0.5069882518831833,1,H
0.0,0.2077922077922078,0.0,0.6,0.0,1.0,0.0,0.0,1,0,1,0.678896908898841,1,H
0.0,0.3246753246753247,0.0,0.4,1.0,0.8,0.0,0.3793103448275862,0,1,0,0.6637599866343313,0,H
0.0,0.18181818181818182,0.0,0.2,1.0,0.8,0.0,0.0,0,1,0,0.513136949457052,0,H
0.0,0.2857142857142857,0.0,0.2,1.0,1.0,0.0,0.034482758620689655,0,0,0,0.601503890191646,0,H
0.0,0.2597402597402597,0.0,1.0,1.0,0.8,0.0,0.0,0,0,0,0.6178000293395571,0,H
0.0,0.11688311688311688,0.0,0.6,0.0,0.4,0.0,0.034482758620689655,0,0,0,0.6135998395206759,0,H
0.0,0.05194805194805195,0.0,0.4,0.0,0.8,0.0,0.0,0,0,0,0.6541105903459881,0,H
0.0,0.19480519480519481,0.0,0.4,1.0,0.8,0.0,0.0,1,0,1,0.5501645949369016,1,H
0.0,0.025974025974025976,0.0,0.8,1.0,1.0,0.0,0.0,0,0,0,0.6197674247653995,0,H
0.0,0.4805194805194805,0.0,0.6,1.0,1.0,0.0,0.5517241379310345,0,1,0,0.5803125583042875,1,H
0.0,0.4805194805194805,0.0,0.2,1.0,1.0,0.0,0.10344827586206896,0,0,0,0.6672012368860851,0,H
0.0,0.4675324675324675,0.0,0.6,1.0,1.0,0.0,0.6551724137931034,0,0,0,0.5695510129056199,1,H
0.0,0.14285714285714285,0.0,0.2,1.0,0.8,0.0,0.0,0,0,0,0.595483575715806,0,H
1.0,0.14285714285714285,0.0,0.6,0.0,1.0,0.4,0.4827586206896552,1,1,1,0.709668141440949,1,H
0.0,0.23376623376623376,0.0,0.6,1.0,0.6,0.0,0.27586206896551724,1,1,1,0.5114905468246822,1,H
0.0,0.03896103896103896,0.0,0.6,1.0,0.4,0.0,0.034482758620689655,1,0,1,0.6793586053717565,1,H
