juv_other_count,juv_misd_count,race,c_charge_degree,sex,juv_fel_count,priors_count,age,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0,0.0,0.6,0.2,1.0,0.0,0.034482758620689655,0.3116883116883117,1,0,1,0.7022197012407574,1,H
0.0,0.0,0.8,0.8,1.0,0.0,0.13793103448275862,0.3116883116883117,1,0,1,0.6754642903502914,1,H
0.42857142857142855,0.0,0.8,0.6,1.0,0.0,0.0,0.012987012987012988,1,0,1,0.6393492917798043,1,H
0.0,0.0,1.0,0.2,1.0,0.0,0.3103448275862069,0.22077922077922077,0,1,0,0.5844850002251877,0,H
0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.14285714285714285,1,0,1,0.7078625589664441,1,H
0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.4155844155844156,1,0,1,0.6506070811715163,1,H
0.0,0.0,0.2,0.4,1.0,0.0,0.034482758620689655,0.03896103896103896,0,0,0,0.655680999722899,0,H
0.0,0.0,0.8,0.6,0.0,0.0,0.1724137931034483,0.025974025974025976,0,0,0,0.5369561229444331,0,H
0.0,0.0,0.8,0.8,1.0,0.0,0.0,0.07792207792207792,0,0,1,0.5665208954086697,0,H
0.0,0.0,1.0,0.4,1.0,0.0,0.10344827586206896,0.09090909090909091,1,0,1,0.5784593305376677,1,H
0.0,0.0,0.6,0.4,0.0,0.0,0.06896551724137931,0.4805194805194805,1,0,1,0.671177512596591,1,H
0.0,0.0,1.0,0.6,1.0,0.0,1.0,0.12987012987012986,1,1,1,0.606990926021149,1,H
0.0,0.0,0.6,0.4,1.0,0.0,0.0,0.36363636363636365,0,0,0,0.5506793257974404,0,H
0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.42857142857142855,0,0,0,0.7439966471887259,0,H
0.0,0.0,1.0,0.6,1.0,0.0,0.034482758620689655,0.012987012987012988,1,0,1,0.5680400231347585,1,H
0.0,0.0,0.4,0.4,1.0,0.0,0.06896551724137931,0.06493506493506493,0,0,0,0.6203063192984158,0,H
0.14285714285714285,0.0,0.6,0.6,1.0,0.0,0.0,0.03896103896103896,0,0,0,0.6241976360437927,0,H
0.0,0.0,1.0,0.0,1.0,0.0,0.10344827586206896,0.09090909090909091,1,0,1,0.6457286819228782,1,H
0.0,0.0,1.0,0.0,1.0,0.0,0.06896551724137931,0.025974025974025976,1,0,1,0.547262017016258,1,H
0.0,0.0,0.8,0.6,1.0,0.0,0.034482758620689655,0.2987012987012987,1,0,1,0.5280746038294553,1,H
0.0,0.0,0.6,0.8,1.0,0.0,0.10344827586206896,0.11688311688311688,1,0,1,0.530093943265956,1,H
0.0,0.0,0.8,0.4,1.0,0.0,0.0,0.2857142857142857,1,0,1,0.5201410477674103,1,H
0.0,0.0,1.0,0.6,0.0,0.0,0.0,0.2077922077922078,1,0,1,0.6842874810388797,1,H
0.0,0.0,0.8,0.4,1.0,0.0,0.3793103448275862,0.3246753246753247,0,1,0,0.6772762593740468,1,H
0.0,0.0,0.8,0.2,1.0,0.0,0.0,0.18181818181818182,0,0,0,0.5545639691449895,0,H
0.0,0.0,1.0,0.2,1.0,0.0,0.034482758620689655,0.2857142857142857,0,0,0,0.6082112704500321,0,H
0.0,0.0,0.8,1.0,1.0,0.0,0.0,0.2597402597402597,0,0,0,0.6512838861148204,0,H
0.0,0.0,0.4,0.6,0.0,0.0,0.034482758620689655,0.11688311688311688,0,0,0,0.639016697245713,0,H
0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.05194805194805195,0,0,0,0.6726627010313326,0,H
0.0,0.0,0.8,0.4,1.0,0.0,0.0,0.19480519480519481,1,0,1,0.583014230536993,1,H
0.0,0.0,1.0,0.8,1.0,0.0,0.0,0.025974025974025976,0,0,0,0.5879890697289795,0,H
0.0,0.0,1.0,0.6,1.0,0.0,0.5517241379310345,0.4805194805194805,0,1,0,0.5422971761865846,1,H
0.0,0.0,1.0,0.2,1.0,0.0,0.10344827586206896,0.4805194805194805,0,0,0,0.5853929948224513,0,H
0.0,0.0,1.0,0.6,1.0,0.0,0.6551724137931034,0.4675324675324675,0,0,0,0.5695680627787231,1,H
0.0,0.0,0.8,0.2,1.0,0.0,0.0,0.14285714285714285,0,0,0,0.6580745838141319,0,H
0.2857142857142857,0.25,1.0,0.6,0.0,0.0,0.4827586206896552,0.14285714285714285,1,1,1,0.6376051025352232,1,H
0.0,0.0,0.6,0.6,1.0,0.0,0.27586206896551724,0.23376623376623376,1,1,1,0.5217066215943994,1,H
0.0,0.0,0.4,0.6,1.0,0.0,0.034482758620689655,0.03896103896103896,1,0,1,0.7095961856535977,1,H
0.0,0.0,0.4,0.2,1.0,0.0,0.06896551724137931,0.36363636363636365,0,0,0,0.5790975072900474,0,H
0.0,0.0,1.0,0.4,0.0,0.0,0.10344827586206896,0.18181818181818182,1,0,0,0.6522161892882102,1,H
0.0,0.0,1.0,0.2,1.0,0.0,0.034482758620689655,0.38961038961038963,1,0,1,0.7148413355158062,1,H
0.0,0.0,1.0,0.6,1.0,0.0,0.0,0.12987012987012986,1,0,1,0.5511476639929666,1,H
0.0,0.0,1.0,0.6,1.0,0.0,0.0,0.0,1,0,1,0.5128669095460842,1,H
0.0,0.0,1.0,0.6,1.0,0.0,0.41379310344827586,0.23376623376623376,0,1,0,0.5331746588337352,1,H
0.0,0.0,1.0,0.6,1.0,0.0,0.3793103448275862,0.45454545454545453,0,0,0,0.5422368094864001,1,H
0.0,0.0,0.8,0.4,1.0,0.0,0.0,0.7922077922077922,0,0,0,0.6206764930944226,0,H
0.14285714285714285,0.0,1.0,0.6,1.0,0.2,0.3103448275862069,0.35064935064935066,1,1,1,0.6076215008501104,1,H
0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.06493506493506493,0,0,0,0.6643504731869779,0,H
0.0,0.0,0.4,0.6,1.0,0.0,0.0,0.24675324675324675,0,0,0,0.6788975292436645,0,H
0.0,0.0,1.0,0.4,1.0,0.0,0.06896551724137931,0.5974025974025974,0,0,1,0.5947019533420241,0,H
0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.06493506493506493,0,0,0,0.7056070731345713,0,H
0.0,0.0,1.0,0.8,1.0,0.0,0.10344827586206896,0.16883116883116883,1,0,1,0.5579146715503087,1,H
0.42857142857142855,0.08333333333333333,1.0,0.6,1.0,0.0,0.3448275862068966,0.15584415584415584,1,1,1,0.5983475491688003,1,H
