c_charge_degree,priors_count,juv_fel_count,race,age,juv_other_count,sex,juv_misd_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.2,0.0357142857142857,0.0,0.6,0.3116883116883117,0.0,1.0,0.0,1,0,1,0.7029149269991837,1,H
0.8,0.1428571428571428,0.0,0.8,0.3116883116883117,0.0,1.0,0.0,0,0,1,0.6746357218742478,0,H
0.6,0.0,0.0,0.8,0.0129870129870129,0.6,1.0,0.0,0,0,1,0.5973866886876236,0,H
0.2,0.3214285714285714,0.0,1.0,0.2207792207792207,0.0,1.0,0.0,0,1,0,0.5823781198535487,0,H
0.4,0.0,0.0,0.4,0.1428571428571428,0.0,1.0,0.0,1,0,1,0.7131335020293516,1,H
0.4,0.0,0.0,0.8,0.4155844155844156,0.0,0.0,0.0,1,0,1,0.6281293034511244,1,H
0.4,0.0357142857142857,0.0,0.2,0.0389610389610389,0.0,1.0,0.0,1,0,0,0.6605211385497337,1,H
0.6,0.1785714285714285,0.0,0.8,0.0259740259740259,0.0,0.0,0.0,1,0,0,0.535811752147771,1,H
0.8,0.0,0.0,0.8,0.0779220779220779,0.0,1.0,0.0,1,1,1,0.5158384949053635,1,H
0.4,0.1071428571428571,0.0,1.0,0.0909090909090909,0.0,1.0,0.0,1,0,1,0.5376922769758844,0,H
0.4,0.0714285714285714,0.0,0.6,0.4805194805194805,0.0,0.0,0.0,0,0,1,0.7096232180466194,0,H
0.6,1.0,0.0,1.0,0.1298701298701298,0.0,1.0,0.0,0,1,1,0.6317244861917191,1,H
0.4,0.0,0.0,0.6,0.3636363636363636,0.0,1.0,0.0,0,0,0,0.6137932553935904,0,H
0.8,0.0,0.0,0.8,0.4285714285714285,0.0,0.0,0.0,0,0,0,0.7269791441814464,0,H
0.6,0.0344827586206896,0.0,1.0,0.0129870129870129,0.0,1.0,0.0,0,0,1,0.5201841574629664,0,H
