sex,prev_residence_place,cur_eco_activity,marital_status,edu_level,economic_status,country_birth,household_size,citizenship,age,household_position,expert prediction,machine prediction,ground truth,proba_model,occupation,provider
0.0,1.0,0.7857142857142857,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.3636363636363636,0.109090909090909,1,0,0,0.5246122817385629,1,H
1.0,1.0,0.9642857142857144,1.0,0.0,0.0,1.0,0.2,0.0,0.3636363636363636,1.0,1,0,0,0.7593329266502339,0,M
0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,0.0,0.0,0.1333333333333333,0.0,0.7272727272727273,0.109090909090909,1,0,1,0.5157905983655454,1,H
0.0,1.0,0.4642857142857143,0.0,0.6,0.1111111111111111,0.0,1.0,0.0,0.0909090909090909,0.0,0,0,0,0.6726365070944952,0,H
1.0,1.0,0.3928571428571428,1.0,0.6,0.0,0.0,0.0,0.0,0.4545454545454545,0.9090909090909092,0,0,0,0.5712765993702743,0,H
1.0,1.0,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,1.0,0.0,0.2727272727272727,0.109090909090909,1,0,0,0.6917118305929323,0,M
1.0,1.0,0.9642857142857144,0.3333333333333333,0.4,0.0,0.0,0.2,0.0,0.0909090909090909,0.109090909090909,1,0,0,0.6972446321450434,0,M
0.0,1.0,0.9285714285714286,0.3333333333333333,0.4,0.0,0.0,0.1333333333333333,0.0,0.4545454545454545,0.109090909090909,0,1,0,0.5070770771100414,0,H
1.0,1.0,0.7142857142857143,1.0,1.0,0.0,0.0,0.2,0.0,0.3636363636363636,0.2727272727272727,0,1,0,0.598283406008287,1,H
1.0,1.0,0.8571428571428571,0.3333333333333333,0.4,1.0,0.0,0.1333333333333333,0.0,0.2727272727272727,0.109090909090909,1,1,0,0.5461454158316205,1,H
0.0,1.0,0.9642857142857144,0.0,0.6,0.1111111111111111,0.0,0.1333333333333333,0.0,0.0,0.0,1,0,0,0.7247242907980854,0,H
1.0,1.0,0.8214285714285714,0.3333333333333333,0.4,1.0,0.0,0.9333333333333332,0.0,0.3636363636363636,0.109090909090909,1,1,0,0.5606016451152074,1,H
0.0,1.0,0.7142857142857143,0.3333333333333333,0.6,1.0,0.5,0.9333333333333332,0.0,0.4545454545454545,0.109090909090909,1,1,1,0.6396060350861403,1,H
1.0,1.0,0.8928571428571429,0.3333333333333333,1.0,0.0,0.0,0.2,0.0,0.4545454545454545,0.109090909090909,1,1,0,0.5577235069530618,1,H
0.0,1.0,0.3928571428571428,0.0,0.6,0.0,0.0,0.9333333333333332,0.0,0.1818181818181818,0.2,1,1,1,0.565108493528837,1,H
0.0,1.0,0.3928571428571428,0.0,0.4,0.0,0.0,0.9333333333333332,0.5,0.2727272727272727,1.0,0,1,0,0.6303161942196288,0,H
0.0,1.0,0.3928571428571428,0.3333333333333333,0.6,0.0,0.0,0.2,0.0,0.7272727272727273,1.0,0,1,0,0.5061997593139607,0,H
