juv_other_count,c_charge_degree,race,juv_misd_count,sex,juv_fel_count,priors_count,age,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.0,0.4,0.8,0.0833333333333333,0.0,0.0,0.0,0.0259740259740259,1,1,1,0.6441646399778365,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.2758620689655172,0.1948051948051948,1,1,1,0.8914924579745314,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2068965517241379,0.5064935064935064,0,1,0,0.5351337206500192,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2068965517241379,0.2207792207792207,0,1,0,0.7286846715596801,1,H
0.0,0.6,0.4,0.0,1.0,0.0,0.0689655172413793,0.2077922077922078,0,0,0,0.7680053683568506,0,H
0.0,0.4,1.0,0.0,1.0,0.0,0.2068965517241379,0.1818181818181818,0,1,0,0.7541283765600005,1,H
0.0,0.4,0.8,0.0,1.0,0.0,0.0,0.0909090909090909,0,0,0,0.6856487006455969,0,H
0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.1038961038961039,1,0,1,0.7049799009535748,1,H
0.0,0.8,1.0,0.0,1.0,0.0,0.0344827586206896,0.1688311688311688,1,0,0,0.5827118064784376,1,H
0.0,0.6,1.0,0.0833333333333333,1.0,0.0,0.2758620689655172,0.2077922077922078,1,1,1,0.874441545945065,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.5194805194805194,0,0,0,0.7843135741802576,0,H
0.0,0.4,0.6,0.0,1.0,0.0,0.1724137931034483,0.2857142857142857,0,0,0,0.7533927555123712,0,H
0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.1948051948051948,0,0,0,0.6918722827806634,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2068965517241379,0.4545454545454545,0,1,0,0.608074586258166,1,H
0.0,0.6,1.0,0.0,0.0,0.0,0.1379310344827586,0.1168831168831168,1,1,1,0.6612192640829138,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.1724137931034483,0.2467532467532467,0,1,0,0.5676139937445928,1,H
0.0,0.6,0.6,0.0,1.0,0.0,0.0,0.2077922077922078,1,0,1,0.75011486191921,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2413793103448276,0.2987012987012987,1,1,1,0.6460626262199293,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.1724137931034483,0.2727272727272727,0,1,0,0.5298215197885658,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.1034482758620689,0.3116883116883117,0,0,0,0.6233611123651625,0,H
0.0,0.6,0.8,0.0,0.0,0.0,0.0689655172413793,0.2597402597402597,1,0,1,0.5794936877341592,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.1379310344827586,0.2857142857142857,0,0,0,0.6599658547149869,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2413793103448276,0.1558441558441558,0,1,0,0.7957842712534898,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.0689655172413793,0.3766233766233766,0,0,0,0.6885670374780626,0,H
0.0,0.6,0.8,0.0,1.0,0.0,0.7241379310344828,0.3376623376623376,1,1,1,0.6693332002105798,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.1379310344827586,0.5194805194805194,0,0,0,0.6681738334776804,0,H
0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.0259740259740259,0,0,0,0.6488486498042823,0,H
0.0,0.6,0.8,0.0,1.0,0.0,0.0344827586206896,0.1558441558441558,1,0,1,0.6563871185657365,1,H
0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.4545454545454545,0,0,0,0.7949726187913387,0,H
0.0,0.6,0.4,0.0,0.0,0.0,0.0689655172413793,0.0649350649350649,1,0,1,0.6881125119425057,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2413793103448276,0.2207792207792207,1,1,1,0.6957118217815424,1,H
0.0,0.4,1.0,0.0833333333333333,1.0,0.0,0.0344827586206896,0.0259740259740259,1,1,1,0.8754345769368213,1,H
0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.1688311688311688,0,0,0,0.7255210717448145,0,H
0.0,0.6,1.0,0.0833333333333333,1.0,0.0,0.5172413793103449,0.2597402597402597,0,1,0,0.8859592586863523,1,H
0.0,0.8,0.8,0.0,0.0,0.0,0.2068965517241379,0.1688311688311688,1,1,1,0.5632088124912945,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.4137931034482758,0.3506493506493506,0,1,0,0.7307015381671095,1,H
0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.1298701298701298,0,0,0,0.6793872992817259,0,H
0.0,0.6,0.8,0.0,1.0,0.0,0.0689655172413793,0.4415584415584415,0,0,0,0.6749673687057229,0,H
0.0,0.4,1.0,0.0,1.0,0.0,0.0,0.4285714285714285,0,0,0,0.6844309699420656,0,H
0.0,0.4,0.6,0.0,1.0,0.0,0.0689655172413793,0.2077922077922078,0,0,0,0.7745665494167457,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.0344827586206896,0.5064935064935064,0,0,0,0.7432202117796142,0,H
0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.5844155844155844,0,0,0,0.8270054798085112,0,H
0.0,0.8,0.8,0.0,0.0,0.0,0.1034482758620689,0.1428571428571428,1,0,1,0.580981164548129,1,H
0.0,0.6,0.8,0.0,0.0,0.0,0.3793103448275862,0.1298701298701298,1,1,1,0.7902627307315196,1,H
0.0,0.6,1.0,0.0,0.0,0.0,0.2413793103448276,0.2857142857142857,1,1,1,0.5853144000371333,1,H
0.0,0.2,0.4,0.0,1.0,0.0,0.0,0.6103896103896104,0,0,0,0.8265837793516707,0,H
0.0,1.0,0.8,0.0,0.0,0.0,0.0344827586206896,0.2597402597402597,0,0,0,0.7834479926199246,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.4137931034482758,0.2337662337662337,1,1,1,0.8789827682466723,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.6551724137931034,0.2467532467532467,1,1,1,0.8464179039540768,1,H
0.0,0.4,1.0,0.0,1.0,0.1,0.3103448275862069,0.4285714285714285,1,1,1,0.8347212781157767,1,H
0.0,0.8,0.4,0.0,1.0,0.0,0.0689655172413793,0.4545454545454545,0,0,0,0.8618240950314079,0,H
0.0,0.2,0.8,0.0,1.0,0.0,0.0689655172413793,0.4285714285714285,0,0,0,0.8337201630426243,0,H
0.0,0.6,0.6,0.0,1.0,0.2,0.0689655172413793,0.0129870129870129,1,0,1,0.6077058658072871,1,H
0.0,0.2,0.8,0.0,1.0,0.0,0.0344827586206896,0.4025974025974026,1,0,1,0.844269479752873,1,H
0.0,0.4,0.6,0.0,1.0,0.0,0.0,0.8311688311688312,0,0,0,0.8041781469089541,0,H
0.4285714285714285,0.6,1.0,0.0,1.0,0.0,0.0,0.0649350649350649,1,1,1,0.525932190874092,1,H
0.0,0.6,1.0,0.0,0.0,0.0,0.2068965517241379,0.2857142857142857,0,1,0,0.6162513900066633,0,H
0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.1688311688311688,0,0,0,0.6612704442264045,0,H
0.0,0.2,1.0,0.0,1.0,0.0,0.0344827586206896,0.1038961038961039,0,0,0,0.6272737364133172,0,H
0.0,0.6,0.6,0.0,1.0,0.0,0.0689655172413793,0.0129870129870129,1,0,1,0.6147457312835818,1,H
0.0,0.4,1.0,0.0,0.0,0.0,0.0689655172413793,0.2987012987012987,0,0,0,0.6925220835599053,0,H
0.0,0.4,0.6,0.0,1.0,0.0,0.0,0.6623376623376623,0,0,0,0.9035052265110314,0,H
0.0,0.8,1.0,0.0,1.0,0.2,0.2758620689655172,0.1948051948051948,1,1,1,0.8508874131605227,1,H
0.0,0.4,0.8,0.0,1.0,0.0,0.0,0.5064935064935064,0,0,0,0.8061855260716796,0,H
0.0,0.8,1.0,0.0,1.0,0.0,0.4827586206896552,0.2207792207792207,1,1,1,0.8104815826432589,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.5172413793103449,0.1948051948051948,0,1,0,0.8679706026778231,1,H
0.0,0.8,1.0,0.0,1.0,0.0,0.0,0.0129870129870129,0,0,0,0.5447222347810189,0,H
0.2857142857142857,0.2,1.0,0.0,1.0,0.0,0.0344827586206896,0.0649350649350649,1,0,1,0.5315896625177751,1,H
0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.3506493506493506,0,0,0,0.8589371647115684,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.1724137931034483,0.2467532467532467,0,0,0,0.55649734631713,1,H
0.0,0.4,0.8,0.0,0.0,0.0,0.0,0.2597402597402597,0,0,0,0.8403468005326197,0,H
0.0,0.6,0.8,0.0,1.0,0.1,0.3103448275862069,0.2727272727272727,0,1,0,0.7178104303007938,1,M
0.0,0.6,0.8,0.0,1.0,0.0,0.0,0.0,0,0,0,0.5484992197810344,0,H
0.0,0.6,1.0,0.0833333333333333,1.0,0.0,0.3793103448275862,0.1038961038961039,0,1,0,0.9134814034015984,1,M
0.0,0.2,0.8,0.0,0.0,0.0,0.0,0.5584415584415584,0,0,0,0.8874655970439318,0,H
0.0,0.8,1.0,0.0,1.0,0.1,0.0689655172413793,0.1298701298701298,0,1,0,0.7064450866814865,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.2413793103448276,0.0909090909090909,0,1,0,0.733793663968509,1,H
0.0,0.2,0.8,0.0,1.0,0.0,0.0,0.4025974025974026,0,0,0,0.7784341372935355,0,H
0.0,0.4,1.0,0.0,0.0,0.0,0.1724137931034483,0.0779220779220779,1,1,1,0.5570474032907654,1,H
0.0,0.8,0.8,0.0,1.0,0.0,0.0,0.0259740259740259,1,0,1,0.6890084564895889,1,H
0.0,0.2,0.6,0.0,1.0,0.0,0.0,0.1428571428571428,1,0,0,0.6998558005958744,1,H
0.0,0.6,1.0,0.0,1.0,0.0,0.3103448275862069,0.2987012987012987,1,1,1,0.820922506020795,1,H
0.0,0.6,1.0,0.0,1.0,0.1,0.2758620689655172,0.1298701298701298,1,1,1,0.8728421883690495,1,H
0.0,0.6,0.8,0.0,0.0,0.0,0.1034482758620689,0.1558441558441558,0,0,0,0.5136635863152599,0,H
0.0,0.6,1.0,0.0,1.0,0.0,0.0,0.0649350649350649,0,0,0,0.611023979969636,0,H
0.0,0.4,0.8,0.0,0.0,0.0,0.1724137931034483,0.5064935064935064,0,0,0,0.6987192342786702,0,H
0.0,0.2,1.0,0.0,1.0,0.0,0.1724137931034483,0.1038961038961039,0,1,0,0.6431207890383985,1,H
0.0,0.4,1.0,0.0833333333333333,1.0,0.0,0.0689655172413793,0.0259740259740259,1,1,1,0.940518454314632,1,H
0.0,0.6,0.2,0.0,1.0,0.0,0.0,0.1298701298701298,0,0,0,0.64869268243909,0,H
