c_charge_degree,priors_count,juv_fel_count,race,age,juv_other_count,sex,juv_misd_count,expert prediction,machine prediction,ground truth,proba_model,did_recid,provider
0.4,0.0,0.0,0.8,0.0259740259740259,0.0,0.0,0.0833333333333333,1,1,1,0.6435071482299801,1,H
0.4,0.2758620689655172,0.0,1.0,0.1948051948051948,0.0,1.0,0.0,0,0,1,0.899508412289053,0,H
0.6,0.2068965517241379,0.0,1.0,0.5064935064935064,0.0,1.0,0.0,1,0,0,0.939361571466992,0,M
0.6,0.2068965517241379,0.0,1.0,0.2207792207792207,0.0,1.0,0.0,0,0,0,0.9275655061378936,0,H
0.6,0.0689655172413793,0.0,0.4,0.2077922077922078,0.0,1.0,0.0,0,0,0,0.9052254481967108,0,H
0.4,0.2068965517241379,0.0,1.0,0.1818181818181818,0.0,1.0,0.0,0,0,0,0.9453760784865692,0,H
0.4,0.0,0.0,0.8,0.0909090909090909,0.0,1.0,0.0,1,0,0,0.9285122464785118,0,M
0.6,0.0,0.0,0.6,0.1038961038961039,0.0,1.0,0.0,0,0,1,0.8702878146883991,0,H
0.8,0.0344827586206896,0.0,1.0,0.1688311688311688,0.0,1.0,0.0,0,0,0,0.9241007383946566,0,H
0.6,0.2758620689655172,0.0,1.0,0.2077922077922078,0.0,1.0,0.0833333333333333,1,1,1,0.8913581959049606,1,H
0.4,0.0,0.0,1.0,0.5194805194805194,0.0,1.0,0.0,1,0,0,0.928655000789392,0,M
0.4,0.1724137931034483,0.0,0.6,0.2857142857142857,0.0,1.0,0.0,1,0,0,0.9537459819388472,0,M
0.6,0.0,0.0,0.6,0.1948051948051948,0.0,1.0,0.0,0,0,0,0.9022545261209312,0,H
0.6,0.2068965517241379,0.0,1.0,0.4545454545454545,0.0,1.0,0.0,0,0,0,0.9452410873558172,0,H
0.6,0.1379310344827586,0.0,1.0,0.1168831168831168,0.0,0.0,0.0,0,0,1,0.9146043663207164,0,H
0.4,0.1724137931034483,0.0,1.0,0.2467532467532467,0.0,1.0,0.0,0,0,0,0.9467201640582568,0,H
0.6,0.0,0.0,0.6,0.2077922077922078,0.0,1.0,0.0,1,0,1,0.9125497129349912,1,H
0.6,0.2413793103448276,0.0,1.0,0.2987012987012987,0.0,1.0,0.0,1,0,1,0.9162559165017264,0,M
0.6,0.1724137931034483,0.0,1.0,0.2727272727272727,0.0,1.0,0.0,1,0,0,0.9341511090566512,0,M
0.6,0.1034482758620689,0.0,1.0,0.3116883116883117,0.0,1.0,0.0,0,0,0,0.926940766248514,0,H
0.6,0.0689655172413793,0.0,0.8,0.2597402597402597,0.0,0.0,0.0,0,0,1,0.920100777483716,0,H
0.6,0.1379310344827586,0.0,1.0,0.2857142857142857,0.0,1.0,0.0,0,0,0,0.9307849676442068,0,H
0.6,0.2413793103448276,0.0,1.0,0.1558441558441558,0.0,1.0,0.0,0,0,0,0.9133822212737972,0,H
0.4,0.0689655172413793,0.0,1.0,0.3766233766233766,0.0,1.0,0.0,0,0,0,0.931367213329486,0,H
0.6,0.7241379310344828,0.0,0.8,0.3376623376623376,0.0,1.0,0.0,1,0,1,0.9061762950232825,1,H
0.4,0.1379310344827586,0.0,1.0,0.5194805194805194,0.0,1.0,0.0,1,0,0,0.8787985292401354,0,M
0.4,0.0,0.0,0.4,0.0259740259740259,0.0,1.0,0.0,0,0,0,0.8853777641467206,0,H
0.6,0.0344827586206896,0.0,0.8,0.1558441558441558,0.0,1.0,0.0,1,0,1,0.9325121522937988,1,H
0.4,0.0,0.0,0.6,0.4545454545454545,0.0,0.0,0.0,1,0,0,0.952723261701034,0,M
0.6,0.0689655172413793,0.0,0.4,0.0649350649350649,0.0,0.0,0.0,1,0,1,0.8664024932543225,0,M
0.6,0.2413793103448276,0.0,1.0,0.2207792207792207,0.0,1.0,0.0,1,0,1,0.900886463388702,0,M
0.4,0.0344827586206896,0.0,1.0,0.0259740259740259,0.0,1.0,0.0833333333333333,1,1,1,0.9363055507616178,1,H
0.4,0.0,0.0,0.6,0.1688311688311688,0.0,0.0,0.0,0,0,0,0.9339644411575332,0,H
0.6,0.5172413793103449,0.0,1.0,0.2597402597402597,0.0,1.0,0.0833333333333333,0,1,0,0.7878779132493697,1,M
0.8,0.2068965517241379,0.0,0.8,0.1688311688311688,0.0,0.0,0.0,0,0,1,0.9522150893370578,0,H
0.4,0.4137931034482758,0.0,1.0,0.3506493506493506,0.0,1.0,0.0,0,0,0,0.8848502799587287,0,H
